,Date,Close,Open,High,Low
1147,16/07/2020,3215.57,3208.36,3220.39,3198.59
1148,15/07/2020,3226.56,3225.98,3238.28,3200.76
1149,14/07/2020,3197.52,3141.11,3200.95,3127.66
1150,13/07/2020,3155.22,3205.08,3235.32,3149.43
1151,10/07/2020,3185.04,3152.47,3186.82,3136.22
1152,09/07/2020,3152.05,3176.17,3179.78,3115.7
1153,08/07/2020,3169.94,3153.07,3171.8,3136.53
1154,07/07/2020,3145.32,3166.44,3184.15,3142.93
1155,06/07/2020,3179.72,3155.29,3182.59,3155.29
1156,02/07/2020,3130.01,3143.64,3165.81,3124.52
1157,01/07/2020,3115.86,3105.92,3128.44,3101.17
1158,30/06/2020,3100.29,3050.2,3111.51,3047.83
1159,29/06/2020,3053.24,3018.59,3053.89,2999.74
1160,26/06/2020,3009.05,3073.2,3073.73,3004.63
1161,25/06/2020,3083.76,3046.6,3086.25,3024.01
1162,24/06/2020,3050.33,3114.4,3115.01,3032.13
1163,23/06/2020,3131.29,3138.7,3154.9,3127.12
1164,22/06/2020,3117.86,3094.42,3120.92,3079.39
1165,19/06/2020,3097.74,3140.29,3155.53,3083.11
1166,18/06/2020,3115.34,3101.64,3120.0,3093.51
1167,17/06/2020,3113.49,3136.13,3141.16,3108.03
1168,16/06/2020,3124.74,3131.0,3153.45,3076.06
1169,15/06/2020,3066.59,2993.76,3079.76,2965.66
1170,12/06/2020,3041.31,3071.04,3088.42,2984.47
1171,11/06/2020,3002.1,3123.53,3123.53,2999.49
1172,10/06/2020,3190.14,3213.42,3223.27,3181.49
1173,09/06/2020,3207.18,3213.32,3222.71,3193.11
1174,08/06/2020,3232.39,3199.92,3233.13,3196.0
1175,05/06/2020,3193.93,3163.84,3211.72,3163.84
1176,04/06/2020,3112.35,3111.56,3128.91,3090.41
1177,03/06/2020,3122.87,3098.9,3130.94,3098.9
1178,02/06/2020,3080.82,3064.78,3081.07,3051.64
1179,01/06/2020,3055.73,3038.78,3062.18,3031.54
1180,29/05/2020,3044.31,3025.17,3049.17,2998.61
1181,28/05/2020,3029.73,3046.61,3068.67,3023.4
1182,27/05/2020,3036.13,3015.65,3036.25,2969.75
1183,26/05/2020,2991.77,3004.08,3021.72,2988.17
1184,22/05/2020,2955.45,2948.05,2956.76,2933.59
1185,21/05/2020,2948.51,2969.95,2978.5,2938.57
1186,20/05/2020,2971.61,2953.63,2980.29,2953.63
1187,19/05/2020,2922.94,2948.59,2964.21,2922.35
1188,18/05/2020,2953.91,2913.86,2968.09,2913.86
1189,15/05/2020,2863.7,2829.95,2865.01,2816.78
1190,14/05/2020,2852.5,2794.54,2852.8,2766.64
1191,13/05/2020,2820.0,2865.86,2874.14,2793.15
1192,12/05/2020,2870.12,2939.5,2945.82,2869.59
1193,11/05/2020,2930.32,2915.46,2944.25,2903.44
1194,08/05/2020,2929.8,2908.83,2932.16,2902.88
1195,07/05/2020,2881.19,2878.26,2901.92,2876.48
1196,06/05/2020,2848.42,2883.14,2891.11,2847.65
1197,05/05/2020,2868.44,2868.88,2898.23,2863.55
1198,04/05/2020,2842.74,2815.01,2844.24,2797.85
1199,01/05/2020,2830.71,2869.09,2869.09,2821.61
1200,30/04/2020,2912.43,2930.91,2930.91,2892.47
1201,29/04/2020,2939.51,2918.46,2954.86,2912.16
1202,28/04/2020,2863.39,2909.96,2921.15,2860.71
1203,27/04/2020,2878.48,2854.65,2887.72,2852.89
1204,24/04/2020,2836.74,2812.64,2842.71,2791.76
1205,23/04/2020,2797.8,2810.42,2844.9,2794.26
1206,22/04/2020,2799.31,2787.89,2815.1,2775.95
1207,21/04/2020,2736.56,2784.81,2785.54,2727.1
1208,20/04/2020,2823.16,2845.62,2868.98,2820.43
1209,17/04/2020,2874.56,2842.43,2879.22,2830.88
1210,16/04/2020,2799.55,2799.34,2806.51,2764.32
1211,15/04/2020,2783.36,2795.64,2801.88,2761.54
1212,14/04/2020,2846.06,2805.1,2851.85,2805.1
1213,13/04/2020,2761.63,2782.46,2782.46,2721.17
1214,09/04/2020,2789.82,2776.99,2818.57,2762.36
1215,08/04/2020,2749.98,2685.0,2760.75,2663.3
1216,07/04/2020,2659.41,2738.65,2756.89,2657.67
1217,06/04/2020,2663.68,2578.28,2676.85,2574.57
1218,03/04/2020,2488.65,2514.92,2538.18,2459.96
1219,02/04/2020,2526.9,2458.54,2533.22,2455.79
1220,01/04/2020,2470.5,2498.08,2522.75,2447.49
1221,31/03/2020,2584.59,2614.69,2641.39,2571.15
1222,30/03/2020,2626.65,2558.98,2631.8,2545.28
1223,27/03/2020,2541.47,2555.87,2615.91,2520.02
1224,26/03/2020,2630.07,2501.29,2637.01,2500.72
1225,25/03/2020,2475.56,2457.77,2571.42,2407.53
1226,24/03/2020,2447.33,2344.44,2449.71,2344.44
1227,23/03/2020,2237.4,2290.71,2300.73,2191.86
1228,20/03/2020,2304.92,2431.94,2453.01,2295.56
1229,19/03/2020,2409.39,2393.48,2466.97,2319.78
1230,18/03/2020,2398.1,2436.5,2453.57,2280.52
1231,17/03/2020,2529.19,2425.66,2553.93,2367.04
1232,16/03/2020,2386.13,2508.59,2562.98,2380.94
1233,13/03/2020,2711.02,2569.99,2711.33,2492.37
1234,12/03/2020,2480.64,2630.86,2660.95,2478.86
1235,11/03/2020,2741.38,2825.6,2825.6,2707.22
1236,10/03/2020,2882.23,2813.48,2882.59,2734.0
