BTC_Close,BTC_Open,BTC_High,BTC_Low,Daily Return,Monthly Return,Annual Return
10348.6,10325.4,10360.5,10309.0,0.0028684950092063843,,
10233.8,10346.0,10261.2,10198.4,-0.01109328798098308,,
10226.5,10217.0,10230.7,10191.6,-0.0007133225194941861,,
10139.6,10248.4,10187.4,10118.0,-0.008497530924558738,,
10235.3,10181.1,10279.5,10217.6,0.009438242139729214,,
10163.7,10204.0,10177.9,10147.6,-0.006995398278506593,,
9908.8,10155.9,10008.0,9885.3,-0.02507944941310758,,
9992.3,9916.0,10048.8,9968.3,0.008426852898433701,,
9720.3,9974.5,9787.6,9630.4,-0.027220960139307304,,
8682.6,9734.5,8729.8,8510.2,-0.10675596432208867,,
8364.4,8695.5,8443.3,8355.6,-0.036648008661000264,,
7970.9,8385.5,8091.3,7957.2,-0.047044617665343624,,
8151.5,7996.0,8213.9,8129.0,0.022657416351980375,,
8165.8,8170.8,8226.8,8164.7,0.0017542783536772522,,
7995.0,8178.3,8060.0,7978.6,-0.020916505425065512,,
8275.9,8022.2,8293.1,8187.9,0.03513445903689805,-0.205523769295753,
8293.4,8269.6,8330.0,8277.5,0.0021145736415375538,,
8341.7,8289.4,8391.7,8315.4,0.005823908167940983,,
8131.8,8347.2,8233.6,8079.3,-0.025162736612441172,,
8121.6,8129.6,8160.3,8116.6,-0.0012543348336161442,,
8064.4,8141.7,8145.5,8031.4,-0.007042947202521743,,
7965.4,8140.4,8145.5,7944.2,-0.012276176776945591,,
8282.3,7834.5,8287.6,8198.5,0.03978456825771448,,
8166.4,8280.6,8205.6,8159.6,-0.013993697402895244,,
8528.9,8169.2,8591.5,8524.5,0.044389204545454586,,
8512.2,8534.3,8573.6,8488.1,-0.0019580485173936735,,
8304.3,8515.6,8330.6,8260.9,-0.02442376823852843,,
8350.4,8314.3,8365.0,8289.1,0.005551340871596588,,
8298.4,8341.8,8307.7,8251.8,-0.006227246598965341,,
8331.9,8291.1,8400.2,8319.6,0.004036922780294994,,
8170.0,8332.3,8185.9,8153.7,-0.019431342190856737,,
7976.1,8178.8,8002.0,7967.3,-0.023733170134638826,,
8109.1,7968.6,8109.1,8056.4,0.016674816012838267,,
7906.3,8109.7,7952.6,7903.3,-0.025008940572936567,,
7917.6,7921.9,7959.0,7898.9,0.0014292399731858918,,
8217.2,7910.5,8232.6,8191.9,0.03783974941901591,,
8190.0,8204.6,8207.8,8174.7,-0.003310129971279885,,
8031.1,8173.5,8055.0,8011.2,-0.019401709401709377,,
7447.1,8039.7,7501.5,7432.3,-0.07271731145173144,,
7443.9,7450.5,7448.8,7423.0,-0.0004296974661278652,,
8575.9,7444.2,8888.9,8565.0,0.15207082309004694,,
9129.9,10093.0,9359.6,9114.5,0.06459963385767087,,
9710.0,9161.7,9866.9,9530.1,0.06353848344450652,,
9284.8,9690.5,9304.3,9203.6,-0.04378990731204946,,
9359.7,9285.9,9411.3,9288.8,0.00806694813027753,,
9116.4,9382.8,9202.5,9066.1,-0.02599442289816989,,
9124.0,9143.9,9154.1,9113.0,0.0008336624106006774,0.10247828030788186,
9244.8,9099.3,9270.1,9217.9,0.013239807102148005,,
9316.3,9243.6,9332.3,9300.1,0.0077340775354795,,
9174.0,9357.7,9208.5,9148.0,-0.015274304176550735,,
9421.2,9164.2,9452.7,9349.5,0.026945716154349375,,
9319.6,9431.5,9336.6,9279.2,-0.010784188850677223,,
9293.7,9310.7,9367.0,9285.0,-0.002779089231297438,,
9248.5,9304.1,9250.1,9194.4,-0.0048635096893595575,,
8834.5,9238.7,8840.3,8748.5,-0.0447640157863437,,
8770.7,8824.4,8804.7,8768.5,-0.007221687701624235,,
9037.4,8777.6,9066.4,9028.6,0.030408063210461966,,
8763.2,9054.0,8769.9,8720.8,-0.030340584681434857,,
8761.7,8742.0,8829.7,8757.4,-0.0001711703487310423,,
8758.9,8754.4,8799.8,8748.4,-0.0003195726856661807,,
8574.6,8754.2,8668.0,8538.7,-0.021041454977223095,,
8470.2,8569.3,8492.1,8450.7,-0.012175495066825248,,
8499.5,8488.9,8521.1,8491.1,0.003459186323817587,,
8457.7,8493.6,8512.9,8437.6,-0.004917936349196905,,
8206.8,8464.5,8245.6,8197.3,-0.02966527542949049,,
8135.5,8247.4,8245.6,8032.8,-0.008687917336842488,,
8114.1,8157.1,8126.0,8086.6,-0.002630446807202924,,
7635.2,8118.6,7688.4,7619.2,-0.05902071702345302,,
7238.9,7648.8,7281.1,7156.7,-0.05190433780385584,,
7244.8,7250.7,7344.1,7242.8,0.0008150409592617702,,
6763.0,7262.0,6955.3,6673.5,-0.06650287102473496,,
7158.0,6743.3,7187.8,7083.1,0.05840603282566903,,
7111.6,7184.1,7183.8,7081.1,-0.006482257613858566,,
7490.6,7099.4,7567.1,7479.1,0.05329321109173746,,
7480.0,7484.7,7507.9,7412.3,-0.001415106934024024,,
7745.6,7471.0,7784.0,7729.9,0.035508021390374456,,
7341.6,7750.8,7546.5,7261.0,-0.05215864490807687,-0.1953529153879877,
7361.0,7340.8,7433.8,7333.9,0.002642475754603746,,
7299.3,7384.8,7389.4,7287.2,-0.008382013313408487,,
7162.3,7303.4,7292.2,7129.9,-0.01876892304741551,,
7221.4,7157.5,7340.7,7184.0,0.008251539309998002,,
7397.5,7213.0,7435.4,7347.4,0.02438585315866737,,
7567.2,7407.0,7595.7,7508.4,0.022940182494085803,,
7445.8,7563.5,7517.0,7416.7,-0.01604292208478697,,
7512.3,7451.2,7553.5,7474.8,0.008931209540949281,,
7394.6,7506.8,7400.3,7333.9,-0.015667638406346884,,
7236.4,7387.4,7277.0,7210.6,-0.021393990209071623,,
7167.7,7230.6,7272.4,7124.6,-0.009493670886075889,,
7242.9,7169.1,7251.9,7208.2,0.010491510526389192,,
7259.3,7235.1,7265.8,7235.7,0.0022642864046169553,,
7075.2,7257.3,7089.9,7033.8,-0.025360571955973743,,
7071.5,7071.8,7139.8,7057.8,-0.0005229534147443982,,
6903.3,7072.2,6922.9,6879.2,-0.023785618327087588,,
6672.5,6903.8,6711.2,6597.6,-0.033433285530108825,,
7156.5,6676.1,7354.0,7153.8,0.07253653053578124,,
7150.4,7158.5,7178.7,7107.7,-0.0008523719695382459,,
7161.9,7152.5,7197.6,7158.5,0.0016083016334751399,,
7157.0,7160.8,7168.9,7143.1,-0.0006841759868191355,,
7569.3,7154.4,7624.0,7496.2,0.05760793628615346,,
7335.6,7561.2,7348.4,7290.7,-0.03087471760929017,,
7259.6,7335.0,7542.4,7231.7,-0.010360434047657963,,
7199.3,7256.6,7238.0,7197.4,-0.008306242768196581,,
7210.2,7199.8,7247.0,7197.2,0.0015140360868417524,,
7262.8,7354.5,7293.8,7128.5,0.007295220659621071,,
7350.2,7310.2,7356.8,7303.0,0.012033926309412246,,
7389.0,7349.6,7398.0,7329.9,0.005278767924682404,,
7257.9,7396.2,7284.0,7228.1,-0.01774259033698744,,
7222.0,7253.4,7239.7,7180.0,-0.004946334339133829,-0.01629072681704269,
7144.6,7219.0,7209.6,7121.1,-0.010717252838548852,,
7192.0,7145.5,7220.8,6884.1,0.006634381210984364,,
7340.5,7200.6,7354.5,7291.4,0.020647942157953292,,
7473.4,7340.8,7501.0,7376.7,0.01810503371704919,,
7547.3,7466.9,7583.0,7366.7,0.00988840420692072,,
7834.6,7539.3,7979.3,7758.9,0.03806659335126472,,
8332.0,7844.3,8436.4,8150.2,0.06348760625941341,,
7964.8,8353.5,8065.9,7932.8,-0.04407105136821887,,
7813.9,7969.5,7871.4,7792.9,-0.0189458617918844,,
8126.0,7817.1,8242.3,8107.9,0.03994164245767173,,
8075.1,8120.3,8110.4,7973.1,-0.006263844449913791,,
8130.8,8074.1,8196.7,8099.4,0.006897747396316989,,
8547.2,8126.7,8562.1,8112.1,0.051212672799724634,,
8662.6,8525.2,8891.7,8632.3,0.013501497566454468,,
8659.6,8625.9,8850.0,8605.8,-0.0003463163484404008,,
