ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-04-22,5237.451396058617,5044.337727749179,5328.218200357529,5237.451396058617,5237.451396058617,-49.336517049488805,-49.336517049488805,-49.336517049488805,-62.60519518912471,-62.60519518912471,-62.60519518912471,13.2686781396359,13.2686781396359,13.2686781396359,0.0,0.0,0.0,5188.114879009128
2024-04-23,5240.792989087818,5049.820039660007,5314.189129916642,5240.792989087818,5240.792989087818,-54.763049957228645,-54.763049957228645,-54.763049957228645,-63.0561965970112,-63.0561965970112,-63.0561965970112,8.293146639782561,8.293146639782561,8.293146639782561,0.0,0.0,0.0,5186.029939130589
2024-04-24,5244.134582117019,5050.725327384551,5327.973030103723,5244.134582117019,5244.134582117019,-57.704736817918096,-57.704736817918096,-57.704736817918096,-60.93602188213465,-60.93602188213465,-60.93602188213465,3.231285064216553,3.231285064216553,3.231285064216553,0.0,0.0,0.0,5186.429845299101
2024-04-25,5247.476175146219,5042.720678513708,5315.6930534368375,5247.476175146219,5247.476175146219,-64.22822320501619,-64.22822320501619,-64.22822320501619,-62.37223254153578,-62.37223254153578,-62.37223254153578,-1.8559906634804195,-1.8559906634804195,-1.8559906634804195,0.0,0.0,0.0,5183.247951941203
2024-04-26,5250.8177681754205,5038.842208455705,5317.94039937852,5250.8177681754205,5250.8177681754205,-68.6261462111337,-68.6261462111337,-68.6261462111337,-61.716949608108514,-61.716949608108514,-61.716949608108514,-6.909196603025181,-6.909196603025181,-6.909196603025181,0.0,0.0,0.0,5182.191621964287
2024-04-29,5260.842547263023,5038.683287507031,5319.9546951278935,5260.842547263023,5260.842547263023,-83.90613217060967,-83.90613217060967,-83.90613217060967,-62.605195188786176,-62.605195188786176,-62.605195188786176,-21.300936981823508,-21.300936981823508,-21.300936981823508,0.0,0.0,0.0,5176.936415092414
2024-04-30,5264.184140292224,5034.7181694994515,5316.882804506137,5264.184140292224,5264.184140292224,-88.72398735176871,-88.72398735176871,-88.72398735176871,-63.056196597184616,-63.056196597184616,-63.056196597184616,-25.66779075458411,-25.66779075458411,-25.66779075458411,0.0,0.0,0.0,5175.460152940455
2024-05-01,5267.525733321426,5027.575915369745,5315.873650789803,5267.525733321426,5267.525733321426,-90.67624467018469,-90.67624467018469,-90.67624467018469,-60.93602188213411,-60.93602188213411,-60.93602188213411,-29.740222788050577,-29.740222788050577,-29.740222788050577,0.0,0.0,0.0,5176.849488651241
2024-05-02,5270.867326350625,5032.884603256988,5311.314553657069,5270.867326350625,5270.867326350625,-95.84842107975024,-95.84842107975024,-95.84842107975024,-62.37223254168388,-62.37223254168388,-62.37223254168388,-33.47618853806636,-33.47618853806636,-33.47618853806636,0.0,0.0,0.0,5175.018905270875
2024-05-03,5274.2089193798265,5042.559178231886,5314.592806042903,5274.2089193798265,5274.2089193798265,-98.55467021213809,-98.55467021213809,-98.55467021213809,-61.716949607802654,-61.716949607802654,-61.716949607802654,-36.83772060433544,-36.83772060433544,-36.83772060433544,0.0,0.0,0.0,5175.654249167688
2024-05-06,5284.233698467429,5050.43712735706,5323.61297357264,5284.233698467429,5284.233698467429,-106.96791096538443,-106.96791096538443,-106.96791096538443,-62.60519518878468,-62.60519518878468,-62.60519518878468,-44.36271577659977,-44.36271577659977,-44.36271577659977,0.0,0.0,0.0,5177.265787502045
2024-05-07,5287.575291496631,5035.554423145779,5322.4288342695345,5287.575291496631,5287.575291496631,-108.99359715033108,-108.99359715033108,-108.99359715033108,-63.056196597207204,-63.056196597207204,-63.056196597207204,-45.9374005531239,-45.9374005531239,-45.9374005531239,0.0,0.0,0.0,5178.5816943463
2024-05-08,5290.916884525831,5038.305188716686,5320.4325276840445,5290.916884525831,5290.916884525831,-107.95374182770229,-107.95374182770229,-107.95374182770229,-60.93602188213353,-60.93602188213353,-60.93602188213353,-47.01771994556875,-47.01771994556875,-47.01771994556875,0.0,0.0,0.0,5182.963142698129
2024-05-09,5294.258477555032,5043.649750947278,5318.756323853651,5294.258477555032,5294.258477555032,-109.96736985231897,-109.96736985231897,-109.96736985231897,-62.37223254165987,-62.37223254165987,-62.37223254165987,-47.59513731065909,-47.59513731065909,-47.59513731065909,0.0,0.0,0.0,5184.291107702713
2024-05-10,5297.6000705842325,5049.500797441946,5323.376867881892,5297.6000705842325,5297.6000705842325,-109.38359337112549,-109.38359337112549,-109.38359337112549,-61.716949607805255,-61.716949607805255,-61.716949607805255,-47.66664376332022,-47.66664376332022,-47.66664376332022,0.0,0.0,0.0,5188.216477213107
2024-05-13,5307.624849671835,5056.528948192057,5347.970667562639,5307.624849671835,5307.624849671835,-107.50550600781234,-107.50550600781234,-107.50550600781234,-62.605195189089585,-62.605195189089585,-62.605195189089585,-44.90031081872277,-44.90031081872277,-44.90031081872277,0.0,0.0,0.0,5200.119343664023
2024-05-14,5310.966442701037,5064.99992767564,5357.215383497097,5310.966442701037,5310.966442701037,-106.08738677070858,-106.08738677070858,-106.08738677070858,-63.056196597060655,-63.056196597060655,-63.056196597060655,-43.03119017364796,-43.03119017364796,-43.03119017364796,0.0,0.0,0.0,5204.879055930328
2024-05-15,5314.308035730237,5072.378331272304,5355.529730270657,5314.308035730237,5314.308035730237,-101.66192229844113,-101.66192229844113,-101.66192229844113,-60.93602188213381,-60.93602188213381,-60.93602188213381,-40.72590041630728,-40.72590041630728,-40.72590041630728,0.0,0.0,0.0,5212.646113431796
2024-05-16,5317.649628759437,5073.8233455505015,5363.739311773821,5317.649628759437,5317.649628759437,-100.38721541424779,-100.38721541424779,-100.38721541424779,-62.37223254157414,-62.37223254157414,-62.37223254157414,-38.01498287267366,-38.01498287267366,-38.01498287267366,0.0,0.0,0.0,5217.262413345189
2024-05-17,5320.991221788639,5099.481354175816,5371.8139440384575,5320.991221788639,5320.991221788639,-96.65103589298698,-96.65103589298698,-96.65103589298698,-61.71694960780785,-61.71694960780785,-61.71694960780785,-34.93408628517913,-34.93408628517913,-34.93408628517913,0.0,0.0,0.0,5224.340185895652
2024-05-20,5331.016000876242,5097.51875752701,5381.547922659634,5331.016000876242,5331.016000876242,-86.5022769373072,-86.5022769373072,-86.5022769373072,-62.605195189088086,-62.605195189088086,-62.605195189088086,-23.89708174821912,-23.89708174821912,-23.89708174821912,0.0,0.0,0.0,5244.513723938935
2024-05-21,5334.357593905442,5113.266792973998,5386.7391843230635,5334.357593905442,5334.357593905442,-82.83776625282981,-82.83776625282981,-82.83776625282981,-63.05619659708321,-63.05619659708321,-63.05619659708321,-19.781569655746598,-19.781569655746598,-19.781569655746598,0.0,0.0,0.0,5251.519827652612
